"","nbsp","sing.sp","FRic","qual.FRic","FEve","FDiv","FDis","RaoQ","CWM.TL","CWM.DemersPelag","CWM.DepthRangeShallow","CWM.DepthRangeDeep","CWM.Length","CWM.BodyShapeI"
"1",17,17,3.26469663095706e-14,0.898919360025127,0.412659486547092,0.81218240604865,0.0976906572200348,0.0228339715072717,4.1293017113532,"bathydemersal",76.1077378516493,531.320894969445,82.5808079483938,"fusiform / normal"
"2",18,18,1.96441854819032e-14,0.898919360025127,0.498894880294518,0.887988010237186,0.067513870232392,0.0150951761921114,4.19356184734205,"bathydemersal",50.5632190433184,487.644519689816,84.6566627349397,"fusiform / normal"
"3",14,14,2.8502973766142e-19,0.898919360025127,0.610009943480819,0.931641859489044,0.0388627101235812,0.00841653551618706,4.2223496189361,"bathydemersal",50.5974352620576,485.036751931941,85.0053083029849,"fusiform / normal"
"4",23,23,1.33944281168113e-12,0.898919360025127,0.21265989337284,0.890990774642925,0.0749724462343466,0.0166832753394672,4.20352534751289,"bathydemersal",49.4117272857841,494.475095892858,87.7856841676152,"fusiform / normal"
"5",24,24,1.67410608851563e-12,0.898919360025127,0.205971252127888,0.865570308432118,0.0829554912521341,0.0187641771217685,4.19935079764218,"bathydemersal",53.7530309386594,521.303881995765,87.3164845607856,"fusiform / normal"
"6",22,22,3.82102559422565e-13,0.898919360025127,0.479261869198533,0.83818397645278,0.0659019845479037,0.0156847201450669,4.21115462122508,"bathydemersal",50.9143197752189,504.947744665192,87.2104849921134,"fusiform / normal"
"7",22,22,3.24580206398447e-13,0.898919360025127,0.430449528108498,0.825152680857684,0.100546657041639,0.0230065073571684,4.188013848825,"bathydemersal",51.0453537816545,502.923867784145,86.919294583883,"fusiform / normal"
"8",23,23,6.06990034521753e-13,0.898919360025127,0.617409721135821,0.899984622189021,0.12087186915764,0.0299765800825591,4.16810718742378,"bathydemersal",56.4554893039594,531.885538705747,84.0240332045416,"fusiform / normal"
"9",25,25,1.41850192665523e-12,0.898919360025127,0.563738352686456,0.86202818146712,0.0835941900078078,0.0201860880199735,4.200986852021,"bathydemersal",57.607977251754,526.958545605691,82.6986129759034,"fusiform / normal"
"10",25,25,1.20423321284865e-12,0.898919360025127,0.370637090959312,0.841478311734809,0.0654150290827877,0.0150756038826897,4.19618350255704,"bathydemersal",57.6996486355624,510.202691682256,81.6013272604337,"fusiform / normal"
"11",25,25,7.22929932385462e-13,0.898919360025127,0.303053117988722,0.912883115418843,0.0919921831808571,0.0213432515866552,4.17818410674327,"bathydemersal",61.6289276631987,545.298681421725,82.602034398538,"fusiform / normal"
"12",17,17,3.52656603183248e-15,0.898919360025127,0.47295148574638,0.884097666309553,0.0389928206826529,0.00856499246616061,4.21845382408984,"bathydemersal",49.840971742713,488.198197564643,85.8705585648728,"fusiform / normal"
"13",24,24,5.78353018116537e-13,0.898919360025127,0.459679468232024,0.922055372866921,0.0562475454715767,0.0108876453947121,4.18118988450679,"bathydemersal",52.5155849797529,479.81819370419,78.6308468457395,"fusiform / normal"
"14",22,22,6.57931718068546e-13,0.898919360025127,0.48644817259757,0.865157884782357,0.107242608519275,0.0239044579080486,4.18057567336747,"bathydemersal",51.3260264040209,506.223560973133,85.7640412306586,"fusiform / normal"
"15",20,20,7.33933001468589e-14,0.898919360025127,0.380828924736509,0.944935266135714,0.0753381924302638,0.0165508175490389,4.18946184957252,"bathydemersal",51.762218647884,490.350566003354,84.9292819323453,"fusiform / normal"
"16",19,19,3.71576031054079e-14,0.898919360025127,0.436001131402753,0.889014969304689,0.118935146987928,0.0288317142331266,4.1444462975325,"bathydemersal",47.1644847796263,497.796028142372,93.0546548327395,"fusiform / normal"
"17",21,21,7.09766982572431e-14,0.898919360025127,0.55994328017193,0.846727371761748,0.103237040072579,0.0213273860996697,4.15358764194998,"bathydemersal",54.0240364262124,520.228714189857,79.504671290824,"fusiform / normal"
