"","Brama australis","Callorhinchus callorynchus","Epigonus crassicaudus","Genypterus blacodes","Genypterus maculatus","Helicolenus lengerichi","Hippoglossina macrops","Macruronus magellanicus","Merluccius gayi gayi","Prolatilus jugularis","Squalus acanthias","Stromateus stellatus","Thyrsites atun","Trachurus murphyi","Zearaja chilensis"
"1",162.433,239.779,5664.391,354.574,695.374,14.575,0,985.712,70497.916,63.912,0,3.684,21.247,255.195,98.869
"2",601.512,83.783,4501.322,364.227,481.412,19.727,0,7624.408,75018.217,1.706,0,0.21,12.306,1167.489,99.839
"3",21.824,63.72,1589.282,85.889,310.59,2.525,0,23599.594,73056.264,3.345,0,0.114,9.157,6.91,119.914
"4",153.658,394.756,1939.493,82.019,615.308,36.966,0,12905.107,44336.677,24.99,0.391,0.915,63.677,177.595,565.33
"5",125.029,78.652,2068.277,37.098,499.989,19.504,0,11484.468,29049.417,3.954,0.032,0.452,6.06,61.057,211.846
"6",90.206,73.594,1292.254,89.488,268.129,21.898,6.344,6964.453,34314.158,2.216,0.11,0.109,3.584,614.95,145.846
"7",35.055,19.821,798.468,5.403,33.399,9.003,0.557,4574.829,28983.4,2.442,0,0,0.025,36.385,55.17
"8",5.44,11.037,351.467,5.518,79.946,2.428,0.835,9563.249,24595.474,3.832,0,0.096,1.752,138.136,22.506
"9",0.288,13.838,184.147,0.054,59.906,0.891,1.959,9622.775,20294.671,3.327,0,0.278,5.55,1.281,19.387
"10",5.86,6.072,91.826,0.66,76.178,0.474,4.113,6581.767,20784.244,1.601,0,0.047,3.644,11.499,29.579
"11",46.969,6.405,81.017,21.406,85.819,1.772,3.096,9036.195,20368.167,2.171,0.039,0.018,3.883,178.937,1.374
"12",334.975,6.598,21.305,45.658,26.916,6.177,6.727,10044.334,20604.893,6.535,1.532,0.068,5.367,195.339,9.565
"13",13.402,7.802,25.047,0.023,28.042,0.293,0.935,5336.432,17783.428,7.891,0,0.02,0.171,0,1.505
