cientifico,TL,DemersPelag,DepthRangeShallow,DepthRangeDeep,Length,BodyShapeI
Apristurus nasutus,3.1,bathydemersal,400,925,70,elongated
Brama australis,4,pelagic-neritic,15,120,47,short and / or deep
Callorhinchus callorynchus,3.35,demersal,10,116,89.2,elongated
Centroscyllium granulatum,3.6,bathypelagic,150,1100,28,elongated
Centroscyllium nigrum,3.9,benthopelagic,269,1170,51,elongated
Coelorinchus chilensis,3.6,bathydemersal,260,1480,48,elongated
Coelorinchus fasciatus,3.86,bathydemersal,73,1086,50,elongated
Deania calcea,4.33,bathydemersal,60,1490,122,elongated
Dipturus trachyderma,4.1,bathydemersal,93,450,264,flat
Epigonus crassicaudus,3.6,bathydemersal,180,400,43,fusiform / normal
Etmopterus granulosus,4.2,bathydemersal,220,1620,60,elongated
Genypterus blacodes,4.2,bathydemersal,22,1000,200,elongated
Genypterus maculatus,4,demersal,40,150,100,elongated
Helicolenus lengerichi,3.9,bathydemersal,50,250,30.7,fusiform / normal
Hexanchus griseus,4.48,bathydemersal,1,2500,482,elongated
Hippoglossina macrops,3.73,demersal,100,500,40,short and / or deep
Macruronus magellanicus,3.9,benthopelagic,30,500,115,elongated
Merluccius australis,4.5,benthopelagic,28,1000,155,elongated
Merluccius gayi gayi,4.26,bathydemersal,50,500,87,fusiform / normal
Prolatilus jugularis,3.7,demersal,12,50,40,fusiform / normal
Psammobatis scobina,3.7,demersal,40,450,49,flat
Squalus acanthias,4.37,benthopelagic,0,1460,160,elongated
Stromateus stellatus,3.6,benthopelagic,0,100,25.14,short and / or deep
Thyrsites atun,3.63,benthopelagic,0,550,200,elongated
Torpedo tremens,4,demersal,0,700,90,flat
Trachurus murphyi,3.33,pelagic-oceanic,10,306,70,fusiform / normal
Zearaja chilensis,4.46,demersal,40,500,42,flat
