"","cientifico","comun","n"
"1","Alosa sapidissima","American shad",445
"2","Atheresthes stomias","arrowtooth flounder",423
"3","Sebastes aurora","aurora rockfish",641
"4","Sebastes rufus","bank rockfish",213
"5","Macropinna microstoma","barreleye",9
"6","Myliobatis californica","bat ray",1
"7","Bathyagonus pentacanthus","bigeye starsnout poacher",28
"8","Lycodes cortezianus","bigfin eelpout",1035
"9","Hippoglossina stomata","bigmouth sole",4
"10","Lycodes diapterus","black eelpout",561
"11","Eptatretus deani","black hagfish",115
"12","Chiasmodon niger","black swallower",19
"13","Stomias atriventer","blackbelly dragonfish",20
"14","Lycodes pacificus","blackbelly eelpout",380
"15","Bathyagonus nigripinnis","blackfin poacher",23
"16","Careproctus cypselurus","blackfin snailfish",83
"17","Sebastes melanostomus","blackgill rockfish",398
"18","Avocettina infans","blackline snipe eel",18
"19","Lycodapus fierasfer","blackmouth eelpout",25
"20","Careproctus melanurus","blacktail snailfish",807
"21","Xeneretmus latifrons","blacktip poacher",36
"22","Psychrolutes phrictus","blob sculpin",5
"23","Tarletonbeania crenularis","blue lanternfish",17
"24","Hexanchus griseus","bluntnose sixgill shark",26
"25","Sebastes paucispinis","bocaccio",727
"26","Paraliparis pectoralis","broadfin snailfish",9
"27","Apristurus brunneus","brown cat shark",1290
"28","Hemilepidotus spinosus","brown Irish lord",7
"29","Sebastes auriculatus","brown rockfish",90
"30","Mustelus henlei","brown smoothhound",59
"31","Enophrys taurina","bull sculpin",27
"32","Nezumia stelgidolepis","California grenadier",193
"33","Paralichthys californicus","California halibut",30
"34","Synodus lucioceps","California lizardfish",27
"35","Scorpaena guttata","California scorpionfish",1
"36","Alepocephalus tenebrosus","California slickhead",757
"37","Leuroglossus stilbius","California smoothtongue",45
"38","Sebastes pinniger","canary rockfish",258
"39","Sebastes goodei","chilipepper",1323
"40","Oncorhynchus tshawytscha","Chinook salmon",202
"41","Melanocetus johnsonii","common blackdevil",2
"42","Sebastes caurinus","copper rockfish",77
"43","Sebastes levis","cowcod",192
"44","Poromitra crassiceps","crested bigscale",91
"45","Pleuronichthys decurrens","curlfin sole",753
"46","Sebastes crameri","darkblotched rockfish",554
"47","Leptoclinus maculatus","daubed shanny",1
"48","Bathyraja abyssicola","deepsea skate",24
"49","Embassichthys bathybius","deepsea sole",717
"50","Lycodapus endemoscotus","deepwater eelpout",28
"51","Microstomus pacificus","Dover sole",3296
"52","Parophrys vetulus","English sole",1941
"53","Thaleichthys pacificus","eulachon",30
"54","Caulophryne jordani","fanfin angler",2
"55","Anoplogaster cornuta","fangtooth",61
"56","Xystreurys liolepis","fantail sole",1
"57","Parmaturus xaniurus","filetail cat shark",522
"58","Zesticelus profundorum","flabby sculpin",3
"59","Sebastes rubrivinctus","flag rockfish",27
"60","Albatrossia pectoralis","giant grenadier",524
"61","Mustelus californicus","gray smoothhound",9
"62","Sebastes rosenblatti","greenblotched rockfish",40
"63","Sebastes chlorostictus","greenspotted rockfish",298
"64","Sebastes elongatus","greenstriped rockfish",912
"65","Sebastes semicinctus","halfbanded rockfish",359
"66","Melamphaes lugubris","highsnout bigscale",14
"67","Pleuronichthys verticalis","hornyhead turbot",112
"68","Elassodiscus caudatus","humpback snailfish",34
"69","Physiculus rastrelliger","hundred fathom codling",19
"70","Aphanopus intermedius","intermediate scabbardfish",1
"71","Trachurus symmetricus","jack mackerel",160
"72","Lycenchelys camchatica","Kamchatka eelpout",20
"73","Hexagrammos decagrammus","kelp greenling",17
"74","Trachipterus altivelis","king-of-the-salmon",15
"75","Ophiodon elongatus","lingcod",1340
"76","Tactostoma macropus","longfin dragonfish",104
"77","Apristurus kampae","longnose cat shark",98
"78","Zaniolepis latipinnis","longspine combfish",638
"79","Sternoptyx diaphana","longspine hatchetfish",9
"80","Sebastolobus altivelis","longspine thornyhead",1199
"81","Caristius macropus","manefish",1
"82","Icichthys lockingtoni","medusafish",30
"83","Engraulis mordax","northern anchovy",179
"84","Stenobrachius leucopsarus","northern lampfish",48
"85","Benthalbella dentata","northern pearleye",4
"86","Leuroglossus schmidti","northern smoothtongue",9
"87","Agonopsis vulsa","northern spearnose poacher",11
"88","Squatina californica","Pacific angel shark",3
"89","Argentina sialis","Pacific argentine",241
"90","Idiacanthus antrostomus","Pacific blackdragon",34
"91","Bathylagus pacificus","Pacific blacksmelt",52
"92","Scomber japonicus","Pacific chub mackerel",91
"93","Antimora microlepis","Pacific flatnose",648
"94","Coryphaenoides acrolepis","Pacific grenadier",574
"95","Eptatretus stoutii","Pacific hagfish",72
"96","Merluccius productus","Pacific hake",2565
"97","Sebastes alutus","Pacific ocean perch",36
"98","Peprilus simillimus","Pacific pompano butterfish",368
"99","Citharichthys sordidus","Pacific sanddab",1617
"100","Sardinops sagax","Pacific sardine",73
"101","Somniosus pacificus","Pacific sleeper shark",30
"102","Squalus suckleyi","Pacific spiny dogfish",1570
"103","Leptocottus armatus","Pacific staghorn sculpin",32
"104","Chauliodus macouni","Pacific viperfish",131
"105","Lycodapus mandibularis","pallid eelpout",21
"106","Eopsetta jordani","petrale sole",1718
"107","Sebastes eos","pink rockfish",9
"108","Zalembius rosaceus","pink seaperch",1046
"109","Porichthys notatus","plainfin midshipman",1210
"110","Sebastes maliger","quillback rockfish",2
"111","Icosteus aenigmaticus","ragfish",11
"112","Paraliparis dactylosus","red snailfish",79
"113","Sebastes babcocki","redbanded rockfish",282
"114","Glyptocephalus zachirus","rex sole",2702
"115","Sebastes helvomaculatus","rosethorn rockfish",135
"116","Sebastes rosaceus","rosy rockfish",8
"117","Chitonotus pugetensis","roughback sculpin",62
"118","Amblyraja badia","roughshoulder skate",2
"119","Bathyraja trachura","roughtail skate",317
"120","Rhacochilus toxotes","rubberlip seaperch",1
"121","Cataetyx rubrirostris","rubynose brotula",51
"122","Anoplopoma fimbria","sablefish",2732
"123","Psettichthys melanostictus","sand sole",49
"124","Sebastes zacentrus","sharpchin rockfish",203
"125","Phanerodon atripes","sharpnose seaperch",1
"126","Cymatogaster aggregata","shiner perch",158
"127","Aristostomias scintillans","shining loosejaw",36
"128","Sagamichthys abei","shining tubeshoulder",15
"129","Sebastes jordani","shortbelly rockfish",852
"130","Zaniolepis frenata","shortspine combfish",38
"131","Sebastolobus alascanus","shortspine thornyhead",1850
"132","Argyropelecus affinis","slender hatchetfish",32
"133","Nemichthys scolopaceus","slender snipe eel",4
"134","Lyopsetta exilis","slender sole",1720
"135","Radulinus asprellus","slim sculpin",54
"136","Rhinoliparis attenuatus","slim snailfish",8
"137","Careproctus gilberti","smalldisk snailfish",24
"138","Nezumia liolepis","smooth grenadier",58
"139","Kathetostoma averruncus","smooth stargazer",1
"140","Lycenchelys crotalinus","snakehead eelpout",408
"141","Bothrocara molle","soft eelpout",10
"142","Galeorhinus galeus","soupfin shark",19
"143","Lepidopsetta bilineata","southern rock sole",214
"144","Sebastes ovalis","speckled rockfish",14
"145","Oneirodes acanthias","spiny dreamer",2
"146","Sebastes diploproa","splitnose rockfish",956
"147","Hyperprosopon anale","spotfin surfperch",18
"148","Chilara taylori","spotted cusk-eel",377
"149","Hydrolagus colliei","spotted ratfish",1846
"150","Sebastes hopkinsi","squarespot rockfish",48
"151","Platichthys stellatus","starry flounder",112
"152","Sebastes constellatus","starry rockfish",13
"153","Sebastes saxicola","stripetail rockfish",1373
"154","Paraliparis cephalus","swellhead snailfish",42
"155","Sebastes ensifer","swordspine rockfish",5
"156","Icelinus filamentosus","threadfin sculpin",217
"157","Talismania bifurcata","threadfin slickhead",177
"158","Argyropelecus lychnus","tropical hatchetfish",5
"159","Bothrocara brunneum","twoline eelpout",549
"160","Eurypharynx pelecanoides","umbrellamouth gulper",1
"161","Chesnonia verrucosa","warty poacher",14
"162","Genyonemus lineatus","white croaker",579
"163","Allosmerus elongatus","whitebait smelt",49
"164","Sebastes entomelas","widow rockfish",249
"165","Anarrhichthys ocellatus","wolf-eel",24
"166","Sebastes ruberrimus","yelloweye rockfish",36
"167","Sebastes flavidus","yellowtail rockfish",139
"168","Cephaloscyllium ventriosum",NA,NA
"169","Citharichthys xanthostigma",NA,NA
"170","Facciolella gilbertii",NA,NA
"171","Triakis semifasciata",NA,NA
